Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,560375,827421,555343,480746
2005-02-01,581089,825290,556634,476091
2005-03-01,601513,835547,563979,477800
2005-04-01,607478,840774,568377,488851
2005-05-01,611909,855479,575591,498086
2005-06-01,633553,873404,586867,498860
2005-07-01,643228,889654,596591,505565
2005-08-01,651436,904934,605632,513309
2005-09-01,656394,919486,612994,518293
2005-10-01,653393,929475,617621,523170
2005-11-01,659354,937550,624479,530516
2005-12-01,660606,936793,624850,530767
2006-01-01,652485,938128,624678,535513
2006-02-01,664906,940849,629165,539637
2006-03-01,664934,937714,626892,537146
2006-04-01,666820,940372,628870,538164
2006-05-01,678064,942776,632749,542839
2006-06-01,685610,949579,636796,545478
2006-07-01,694646,957370,644245,553232
2006-08-01,701087,960199,648680,559422
2006-09-01,712996,967136,653566,560666
2006-10-01,712057,967930,654988,565020
2006-11-01,712789,971149,657582,566667
2006-12-01,720557,966490,656664,564247
2007-01-01,721746,962852,654317,562841
2007-02-01,710826,954126,648018,562472
2007-03-01,705530,945076,642366,558608
2007-04-01,706568,960914,644651,556246
2007-05-01,702369,973145,644949,549925
2007-06-01,701073,987674,646817,550677
2007-07-01,700484,994355,647463,549097
2007-08-01,699203,1003596,648270,546655
2007-09-01,697490,1009646,648687,543351
2007-10-01,696797,1016911,649064,543437
2007-11-01,698283,1024413,649108,537086
2007-12-01,699945,1025274,649048,534299
2008-01-01,691659,1020765,642964,527667
2008-02-01,685842,1025964,641852,525798
2008-03-01,682195,1028058,638672,521632
2008-04-01,673406,1024101,633113,517425
2008-05-01,668801,1029358,632661,515228
2008-06-01,667065,1034099,632395,513208
2008-07-01,667142,1036378,631555,509911
2008-08-01,667883,1033246,628686,503859
2008-09-01,665420,1028456,626256,503327
2008-10-01,663492,1026338,623364,502225
2008-11-01,653924,1019894,616955,499346
2008-12-01,642922,1007409,608976,494784
2009-01-01,623816,994592,598639,489585
2009-02-01,615713,978134,588389,479846
2009-03-01,614851,968041,581601,473203
2009-04-01,605662,941850,572032,469445
2009-05-01,605844,933047,567987,467244
2009-06-01,597153,919605,560144,461723
2009-07-01,597897,908587,556014,456367
2009-08-01,592726,898699,551887,453321
2009-09-01,589306,898769,548883,449342
2009-10-01,584297,896000,545866,446437
2009-11-01,578882,888544,543177,444473
2009-12-01,570460,886269,542161,445765
2010-01-01,569581,887208,540955,443089
2010-02-01,569529,887194,538215,438640
2010-03-01,564397,884894,536812,438091
2010-04-01,562854,886598,535581,435988
2010-05-01,564249,887550,537008,438689
2010-06-01,567033,891494,538604,439414
2010-07-01,561581,893105,535356,436770
2010-08-01,558185,897028,534177,435813
2010-09-01,555972,900221,532812,433704
2010-10-01,556042,896277,529616,430311
2010-11-01,551915,897351,527895,428643
2010-12-01,545197,894977,525508,426439
2011-01-01,545604,897892,526081,427564
2011-02-01,549622,892904,524818,424356
2011-03-01,552165,887282,524193,424616
2011-04-01,551273,889686,523720,422501
2011-05-01,545762,894312,523366,424926
2011-06-01,546865,894876,523575,424629
2011-07-01,548054,896616,523133,424149
2011-08-01,547922,895908,522639,422175
2011-09-01,543474,901150,522686,422025
2011-10-01,539308,901074,519725,417036
2011-11-01,543112,894849,519183,415804
2011-12-01,541675,901999,520346,417607
2012-01-01,543322,901121,519279,416308
2012-02-01,546131,897967,518825,416498
2012-03-01,545398,901536,518311,416590
2012-04-01,547434,893279,517308,416811
2012-05-01,545187,899949,518345,415988
2012-06-01,545656,906177,519291,413893
2012-07-01,540872,915696,518491,410497
2012-08-01,540003,921728,518843,406735
2012-09-01,540802,922243,519900,409293
2012-10-01,546674,920999,520600,408325
2012-11-01,545012,923238,520707,408370
2012-12-01,544634,929937,522230,409657
2013-01-01,546473,930069,521660,408995
2013-02-01,546778,932852,521446,408350
2013-03-01,542584,938048,519852,404956
2013-04-01,552533,945950,524889,407552
2013-05-01,561908,952307,528820,408065
2013-06-01,564611,959352,530540,406886
2013-07-01,573089,972618,535753,408746
2013-08-01,575171,981443,539046,411184
